# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 174 6045.891 13027.33256693342
20 169 5872.1585 12652.983929952574
30 166 5767.919 12428.374747764068
40 174 6045.891 13027.33256693342
50 170 5906.905 12727.853657348745
60 172 5976.397999999999 12877.593112141081
70 168 5837.411999999999 12578.114202556406
80 174 6045.891 13027.33256693342
90 169 5872.1585 12652.983929952574
100 172 5976.397999999999 12877.593112141081
110 169 5872.1585 12652.983929952574
120 169 5872.1585 12652.983929952574
130 168 5837.411999999999 12578.114202556406
140 164 5698.4259999999995 12278.63529297173
150 169 5872.1585 12652.983929952574
160 174 6045.891 13027.33256693342
170 170 5906.905 12727.853657348745
180 166 5767.919 12428.374747764068
190 167 5802.665499999999 12503.244475160236
200 174 6045.891 13027.33256693342
210 166 5767.919 12428.374747764068
220 170 5906.905 12727.853657348745
230 172 5976.397999999999 12877.593112141081
240 170 5906.905 12727.853657348745
250 171 5941.6515 12802.723384744913
260 171 5941.6515 12802.723384744913
270 169 5872.1585 12652.983929952574
280 167 5802.665499999999 12503.244475160236
290 177 6150.130499999999 13251.941749121926
300 171 5941.6515 12802.723384744913
310 167 5802.665499999999 12503.244475160236
320 169 5872.1585 12652.983929952574
330 167 5802.665499999999 12503.244475160236
340 165 5733.1725 12353.505020367898
350 173 6011.144499999999 12952.462839537251
360 171 5941.6515 12802.723384744913
370 169 5872.1585 12652.983929952574
380 169 5872.1585 12652.983929952574
390 174 6045.891 13027.33256693342
400 165 5733.1725 12353.505020367898
410 167 5802.665499999999 12503.244475160236
420 176 6115.384 13177.07202172576
430 168 5837.411999999999 12578.114202556406
440 166 5767.919 12428.374747764068
450 166 5767.919 12428.374747764068
460 173 6011.144499999999 12952.462839537251
470 168 5837.411999999999 12578.114202556406
480 173 6011.144499999999 12952.462839537251
490 165 5733.1725 12353.505020367898
500 165 5733.1725 12353.505020367898
510 170 5906.905 12727.853657348745
520 166 5767.919 12428.374747764068
530 165 5733.1725 12353.505020367898
540 166 5767.919 12428.374747764068
550 173 6011.144499999999 12952.462839537251
560 162 5628.933 12128.895838179393
570 171 5941.6515 12802.723384744913
580 171 5941.6515 12802.723384744913
590 170 5906.905 12727.853657348745
600 166 5767.919 12428.374747764068
